"Sl_No","Acceleration","Air Quality","Distance","Fall","Humidity","Motion Detected","Object Detected","Temperature"
"3730","0","181.882904","95","False","0","False","False","0"
"1132","0","174.375458","95","False","0","False","False","0"
"2360","0","176.848892","95","False","0","False","False","0"
"3538","0","184.444077","95","False","0","False","False","0"
"4738","0","206.032181","95","False","0","False","False","0"
"1442","0","174.375458","94","False","0","False","False","0"
"1925","0","176.848892","94","False","0","False","False","0"
"3112","0","181.882904","95","False","0","False","False","0"
"184","0","344.283691","253","False","0","False","False","0"
"403","0","203.223923","95","False","0","False","False","0"
"2782","0","176.848892","94","False","0","False","False","0"
"3925","0","176.848892","95","False","0","False","False","0"
"1432","0","171.930634","95","False","0","False","False","0"
"2013","0","181.882904","94","False","0","False","False","0"
"5010","0","194.989822","95","False","0","False","False","0"
"4106","0","181.882904","95","False","0","False","False","0"
"1831","0","176.848892","95","False","0","False","False","0"
"888","0","121.142937","95","False","0","False","False","0"
"304","0","314.868652","47","False","0","False","False","0"
"2359","0","176.848892","95","False","0","False","False","0"
"590","0","184.444077","94","False","0","False","False","0"
"1314","0","157.847397","94","False","0","False","False","0"
"1435","0","174.375458","95","False","0","False","False","0"
"2887","0","181.882904","95","False","0","False","False","0"
"1454","0","171.930634","95","False","0","False","False","0"
"5233","0","197.703064","95","False","0","False","False","0"
"156","0","348.672852","195","False","0","False","False","0"
"2211","0","179.351288","95","False","0","False","False","0"
"1842","0","176.848892","94","False","0","False","False","0"
"2995","0","181.882904","95","False","0","False","False","0"
"4684","0","197.703064","94","False","0","False","False","0"
"3652","0","181.882904","95","False","0","False","False","0"
"2634","0","176.848892","95","False","0","False","False","0"
"5272","0","194.989822","94","False","0","False","False","0"
"3884","0","179.351288","95","False","0","False","False","0"
"978","0","153.369461","95","False","0","True","False","0"
"2419","0","176.848892","94","False","0","False","False","0"
"122","0","366.716522","219","False","0","False","False","0"
"1658","0","176.848892","95","False","0","False","False","0"
"3957","0","176.848892","95","False","0","False","False","0"
"2717","0","176.848892","94","False","0","False","False","0"
"4701","0","203.223923","95","False","0","False","False","0"
"2077","0","179.351288","94","False","0","False","False","0"
"4640","0","203.223923","95","False","0","False","False","0"
"1687","0","176.848892","95","False","0","False","False","0"
"3103","0","179.351288","73","False","0","False","False","0"
"1765","0","176.848892","94","False","0","False","False","0"
"2806","0","176.848892","95","False","0","False","False","0"
"1193","0","160.126266","95","False","0","False","False","0"
"3874","0","176.848892","94","False","0","False","False","0"
"273","0","314.868652","219","False","0","False","False","0"
"513","0","214.65213","95","False","0","False","False","0"
"4962","0","197.703064","95","False","0","False","False","0"
"3803","0","176.848892","95","False","0","False","False","0"
"3351","0","194.989822","95","False","0","False","False","0"
"2758","0","176.848892","95","False","0","False","False","0"
"3788","0","181.882904","95","False","0","False","False","0"
"3964","0","176.848892","95","False","0","False","False","0"
"333","0","214.65213","95","False","0","False","False","0"
"3431","0","192.307541","94","False","0","False","False","0"
"4148","0","181.882904","95","False","0","False","False","0"
"3899","0","176.848892","94","False","0","False","False","0"
"145","0","362.131653","193","False","0","False","False","0"
"1305","0","160.126266","95","False","0","True","False","0"
"1041","0","157.847397","95","False","0","False","False","0"
"2302","0","176.848892","95","False","0","False","False","0"
"4660","0","197.703064","95","False","0","False","False","0"
"4926","0","197.703064","95","False","0","False","False","0"
"1706","0","176.848892","95","False","0","False","False","0"
"3888","0","176.848892","94","False","0","False","False","0"
"2403","0","176.848892","95","False","0","False","False","0"
"5044","0","197.703064","95","False","0","False","False","0"
"1182","0","160.126266","95","False","0","False","False","0"
"5171","0","203.223923","95","False","0","False","False","0"
"2314","0","176.848892","95","False","0","False","False","0"
"4473","0","192.307541","95","False","0","False","False","0"
"195","0","344.283691","193","False","0","False","False","0"
"501","0","197.703064","95","False","0","False","False","0"
"5017","0","197.703064","95","False","0","False","False","0"
"3837","0","179.351288","94","False","0","False","False","0"
"1293","0","160.126266","95","False","0","False","False","0"
"2543","0","176.848892","94","False","0","False","False","0"
"4746","0","211.746002","95","False","0","False","False","0"
"5205","0","197.703064","95","False","0","False","False","0"
"2152","0","179.351288","95","False","0","False","False","0"
"3238","0","181.882904","95","False","0","False","False","0"
"5325","0","194.989822","95","False","0","False","False","0"
"1776","0","176.848892","95","False","0","False","False","0"
"5134","0","197.703064","95","False","0","False","False","0"
"4819","0","214.65213","95","False","0","False","False","0"
"4811","0","211.746002","95","False","0","False","False","0"
"4923","0","197.703064","95","False","0","False","False","0"
"4769","0","208.872772","95","False","0","False","False","0"
"1021","0","153.369461","95","False","0","False","False","0"
"1987","0","181.882904","95","False","0","False","False","0"
"3343","0","181.882904","94","False","0","False","False","0"
"3511","0","184.444077","95","False","0","False","False","0"
"2036","0","184.444077","94","False","0","False","False","0"
"4553","0","194.989822","95","False","0","False","False","0"
"3502","0","181.882904","95","False","0","False","False","0"
"2902","0","181.882904","94","False","0","False","False","0"
"359","0","214.65213","95","False","0","False","False","0"
"3871","0","179.351288","95","False","0","False","False","0"
"2121","0","179.351288","95","False","0","False","False","0"
"983","0","153.369461","95","False","0","False","False","0"
"1475","0","174.375458","94","False","0","False","False","0"
"4110","0","181.882904","95","False","0","False","False","0"
"912","0","144.725494","95","False","0","False","False","0"
"5095","0","197.703064","95","False","0","False","False","0"
"4159","0","181.882904","94","False","0","False","False","0"
"2301","0","176.848892","95","False","0","False","False","0"
"668","0","176.848892","95","False","0","False","False","0"
"1029","0","155.59523","95","False","0","False","False","0"
"835","0","105.582115","95","False","0","False","False","0"
"2886","0","181.882904","94","False","0","False","False","0"
"4495","0","192.307541","95","False","0","False","False","0"
"2132","0","179.351288","94","False","0","False","False","0"
"5148","0","197.703064","95","False","0","False","False","0"
"4536","0","194.989822","95","False","0","False","False","0"
"1380","0","167.125793","94","False","0","False","False","0"
"3292","0","181.882904","94","False","0","False","False","0"
"2960","0","181.882904","94","False","0","False","False","0"
"1069","0","176.848892","95","False","0","False","False","0"
"5385","0","192.307541","94","False","0","False","False","0"
"1931","0","176.848892","95","False","0","False","False","0"
"1163","0","162.432129","95","False","0","False","False","0"
"583","0","194.989822","94","False","0","False","False","0"
"2954","0","181.882904","94","False","0","False","False","0"
"2760","0","174.375458","95","False","0","False","False","0"
"4742","0","211.746002","95","False","0","False","False","0"
"3385","0","211.746002","95","False","0","False","False","0"
"395","0","211.746002","95","False","0","False","False","0"
"1228","0","160.126266","94","False","0","False","False","0"
"3932","0","174.375458","94","False","0","False","False","0"
"2878","0","181.882904","94","False","0","False","False","0"
"896","0","132.508453","95","False","0","False","False","0"
"4155","0","184.444077","94","False","0","False","False","0"
"1694","0","176.848892","95","False","0","False","False","0"
"977","0","153.369461","95","False","0","False","False","0"
"3844","0","179.351288","95","False","0","False","False","0"
"2971","0","181.882904","94","False","0","False","False","0"
"4897","0","197.703064","94","False","0","False","False","0"
"256","0","327.199097","75","False","0","False","False","0"
"2391","0","176.848892","94","False","0","False","False","0"
"4875","0","203.223923","94","False","0","False","False","0"
"3736","0","181.882904","95","False","0","False","False","0"
"130","0","362.131653","194","False","0","False","False","0"
"2450","0","176.848892","95","False","0","False","False","0"
"1068","0","176.848892","95","False","0","False","False","0"
"3484","0","187.034973","95","False","0","False","False","0"
"2094","0","176.848892","94","False","0","False","False","0"
"4070","0","181.882904","95","False","0","False","False","0"
"4789","0","208.872772","95","False","0","False","False","0"
"5389","0","194.989822","94","False","0","False","False","0"
"386","0","211.746002","94","False","0","False","False","0"
"1680","0","176.848892","95","False","0","False","False","0"
"573","0","194.989822","94","False","0","False","False","0"
"5063","0","194.989822","95","False","0","False","False","0"
"891","0","121.142937","94","False","0","False","False","0"
"1277","0","157.847397","95","False","0","False","False","0"
"3715","0","181.882904","94","False","0","False","False","0"
"5083","0","203.223923","95","False","0","False","False","0"
"3573","0","181.882904","95","False","0","False","False","0"
"369","0","211.746002","94","False","0","False","False","0"
"5411","0","192.307541","95","False","0","False","False","0"
"555","0","208.872772","95","False","0","False","False","0"
"1709","0","176.848892","94","False","0","False","False","0"
"533","0","211.746002","95","False","0","False","False","0"
"3396","0","211.746002","95","False","0","False","False","0"
"1275","0","160.126266","94","False","0","False","False","0"
"79","0","302.938629","28","False","0","False","False","0"
"3913","0","176.848892","94","False","0","False","False","0"
"3251","0","181.882904","95","False","0","False","False","0"
"5330","0","194.989822","95","False","0","False","False","0"
"2981","0","181.882904","95","False","0","False","False","0"
"2502","0","176.848892","95","False","0","False","False","0"
"4765","0","206.032181","94","False","0","False","False","0"
"1951","0","176.848892","94","False","0","False","False","0"
"1710","0","176.848892","95","False","0","False","False","0"
"876","0","112.285843","95","False","0","False","False","0"
"1505","0","176.848892","94","False","0","False","False","0"
"3409","0","203.223923","95","False","0","False","False","0"
"2906","0","181.882904","95","False","0","False","False","0"
"1465","0","171.930634","94","False","0","False","False","0"
"4063","0","181.882904","95","False","0","False","False","0"
"172","0","344.283691","194","False","0","False","False","0"
"3723","0","181.882904","94","False","0","False","False","0"
"5085","0","197.703064","95","False","0","False","False","0"
"3535","0","181.882904","95","False","0","False","False","0"
"921","0","138.507263","95","False","0","True","False","0"
"1627","0","181.882904","95","False","0","False","False","0"
"4228","0","187.034973","95","False","0","False","False","0"
"3947","0","176.848892","94","False","0","False","False","0"
"3239","0","181.882904","94","False","0","False","False","0"
"4207","0","192.307541","95","False","0","False","False","0"
"2613","0","176.848892","95","False","0","False","False","0"
"2228","0","179.351288","95","False","0","False","False","0"
"379","0","211.746002","94","False","0","False","False","0"
"1222","0","160.126266","95","False","0","False","False","0"
"2566","0","176.848892","94","False","0","False","False","0"
"3727","0","181.882904","95","False","0","False","False","0"
"1136","0","174.375458","94","False","0","False","False","0"
"3195","0","181.882904","94","False","0","False","False","0"
"5383","0","192.307541","94","False","0","False","False","0"
"2358","0","176.848892","95","False","0","False","False","0"
"939","0","144.725494","94","False","0","True","False","0"
"1807","0","176.848892","95","False","0","False","False","0"
"2986","0","181.882904","94","False","0","False","False","0"
"4645","0","197.703064","95","False","0","False","False","0"
"1823","0","176.848892","95","False","0","False","False","0"
"5311","0","194.989822","94","False","0","False","False","0"
"2174","0","179.351288","94","False","0","False","False","0"
"440","0","192.307541","94","False","0","False","False","0"
"4871","0","206.032181","95","False","0","False","False","0"
"4894","0","197.703064","94","False","0","False","False","0"
"1383","0","160.126266","74","False","0","False","False","0"
"4470","0","192.307541","95","False","0","False","False","0"
"4703","0","197.703064","94","False","0","False","False","0"
"2034","0","184.444077","95","False","0","False","False","0"
"1038","0","157.847397","94","False","0","False","False","0"
"4798","0","211.746002","95","False","0","False","False","0"
"954","0","148.996185","94","False","0","False","False","0"
"2080","0","179.351288","94","False","0","False","False","0"
"5035","0","197.703064","94","False","0","False","False","0"
"5384","0","192.307541","94","False","0","False","False","0"
"2054","0","179.351288","95","False","0","False","False","0"
"4359","0","192.307541","95","False","0","False","False","0"
"3604","0","181.882904","95","False","0","False","False","0"
"2126","0","179.351288","94","False","0","False","False","0"
"4474","0","192.307541","94","False","0","False","False","0"
"3063","0","181.882904","94","False","0","False","False","0"
"1909","0","176.848892","95","False","0","False","False","0"
"3248","0","181.882904","94","False","0","False","False","0"
"5267","0","197.703064","95","False","0","False","False","0"
"1474","0","174.375458","94","False","0","False","False","0"
"5163","0","197.703064","95","False","0","False","False","0"
"3754","0","179.351288","94","False","0","False","False","0"
"2469","0","174.375458","95","False","0","False","False","0"
"3392","0","211.746002","94","False","0","False","False","0"
"5290","0","192.307541","94","False","0","False","False","0"
"3558","0","181.882904","94","False","0","False","False","0"
"3909","0","179.351288","94","False","0","False","False","0"
"1999","0","181.882904","95","False","0","False","False","0"
"4856","0","197.703064","95","False","0","False","False","0"
"3373","0","211.746002","95","False","0","False","False","0"
"5164","0","197.703064","95","False","0","False","False","0"
"1901","0","176.848892","94","False","0","False","False","0"
"5166","0","203.223923","95","False","0","False","False","0"
"1063","0","176.848892","94","False","0","False","False","0"
"4047","0","181.882904","95","False","0","False","False","0"
"2318","0","174.375458","95","False","0","False","False","0"
"4876","0","194.989822","94","False","0","False","False","0"
"4346","0","189.656082","94","False","0","False","False","0"
"1439","0","174.375458","95","False","0","False","False","0"
"5191","0","203.223923","95","False","0","False","False","0"
"4411","0","192.307541","95","False","0","False","False","0"
"2235","0","179.351288","94","False","0","False","False","0"
